Country.Name,Year,GDP growth (annual %)
Australia,1961,2.485769492
Australia,1962,1.296087352
Australia,1963,6.214630395
Australia,1964,6.978522159
Australia,1965,5.983505989
Australia,1966,2.382458423
Australia,1967,6.30262019
Australia,1968,5.0958138
Australia,1969,7.044329321
Australia,1970,7.172186576
Australia,1971,4.003683534
Australia,1972,3.91252353
Australia,1973,2.613723151
Australia,1974,4.103362161
Australia,1975,1.349916787
Australia,1976,2.5876962
Australia,1977,3.597427567
Australia,1978,0.896879846
Australia,1979,4.043486692
Australia,1980,3.034245871
Australia,1981,3.337768138
Australia,1982,3.328441934
Australia,1983,-2.220470122
Australia,1984,4.581297219
Australia,1985,5.249329609
Australia,1986,4.037528851
Australia,1987,2.551170459
Australia,1988,5.743381585
Australia,1989,3.861173516
Australia,1990,3.570998147
Australia,1991,-0.3978177
Australia,1992,0.412184701
Australia,1993,4.029906461
Australia,1994,3.983890153
Australia,1995,3.837755293
Australia,1996,3.878585293
Australia,1997,3.966537662
Australia,1998,4.576688759
Australia,1999,5.073599095
Australia,2000,3.933136945
Australia,2001,1.930857592
Australia,2002,4.001404062
Australia,2003,2.985934322
Australia,2004,4.055451968
Australia,2005,3.204269793
Australia,2006,2.794537024
Australia,2007,3.844230316
Australia,2008,3.657953526
Australia,2009,1.93699392
Australia,2010,2.067417128
Australia,2011,2.462756312
Australia,2012,3.918162871
Australia,2013,2.584897702
Australia,2014,2.533114665
Australia,2015,2.192647426
Australia,2016,2.770652197
Australia,2017,2.300610624
Australia,2018,2.949285772
Australia,2019,2.160956295
Australia,2020,-0.284839298
